total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
1880,112,driving,2,3,2,53,114398,567,0,239,1083,307,76817,8167,logistic,2000,320,180,320x180,104000,49.599,0.48,46.477,12694.295,0.24,1.353,25.857,192769.5468,28
1881,112,driving,2,3,2,54,116163,351,0,239,2293,402,100640,8403,logistic,2000,320,180,320x180,106000,101.433,0.48,46.477,12933.81,0.24,1.353,56.753,570414.6496,46
1882,112,driving,2,3,2,55,118317,701,0,239,1457,510,127725,8249,logistic,2000,320,180,320x180,108000,18.426,0.48,46.477,13173.325,0.24,1.353,34.675,209389.7082,46
1883,112,driving,2,3,2,56,120172,104,0,239,11009,572,143125,8395,logistic,2000,320,180,320x180,110000,9.365,0.48,46.477,13412.84,0.24,1.353,26.407,5308842.559,56
1884,112,driving,2,3,2,57,122192,1047,0,239,871,456,114043,8375,logistic,2000,320,180,320x180,112000,55.977,0.48,46.477,13652.355,0.24,1.353,24.646,120776.8378,41
1885,112,driving,2,3,2,58,124181,213,0,239,2569,273,68404,8386,logistic,2000,320,180,320x180,114000,18.358,0.48,46.477,13891.87,0.24,1.353,32.088,572508.3216,29
1886,112,driving,2,3,2,59,126410,1103,0,239,481,265,66439,8158,logistic,2000,320,180,320x180,116000,127.624,0.48,46.477,14131.385,0.24,1.354,68.586,77542.9062,24
1887,112,driving,2,3,2,60,128201,289,0,239,822,118,29705,8367,logistic,2000,320,180,320x180,118000,118.017,0.48,46.477,14370.9,0.24,1.35,55.816,580304.1018,18
1888,112,driving,2,3,3,1,219,218,0,239,78,8,2132,2000,logistic,2000,320,180,320x180,0,86.846,0,51.077,-5760.485,0.24,1.878,0.164,4027397.26,2
1889,112,driving,2,3,3,2,3361,2491,0,239,264,329,82445,4000,logistic,2000,320,180,320x180,2000,513.73,0.48,46.477,-11520.97,0.24,1.878,469.172,55726.89259,32
1890,112,driving,2,3,3,3,7384,3332,23,239,281,468,117046,2000,logistic,2000,320,180,320x180,4000,207.811,0.48,46.801,787.545,-26.819,1.812,300.037,41927.72652,47
1891,112,driving,2,3,3,4,11400,3382,2016,239,255,432,108123,2000,logistic,2000,320,180,320x180,6000,374.237,0.48,65.677,7075.06,-19.839,1.63,381.093,40295.86851,45
1892,112,driving,2,3,3,5,15414,3476,2014,239,155,270,67720,2000,logistic,2000,320,180,320x180,8000,12.58,0.48,74.938,13287.575,-19.81,1.545,122.217,20348.42888,26
1893,112,driving,2,3,3,6,19430,3377,2015,239,147,249,62348,2000,logistic,2000,320,180,320x180,10000,281.675,0.48,69.24,13524.09,-19.82,1.493,298.212,22051.03138,25
1894,112,driving,2,3,3,7,22304,2337,874,239,182,212,53248,2000,logistic,2000,320,180,320x180,12000,248.766,0.48,60.079,10343.605,-19.858,1.466,164.437,28076.59813,20
1895,112,driving,2,3,3,8,23442,568,0,239,650,184,46171,2863,logistic,2000,320,180,320x180,14000,254.994,0.48,50.236,4538.12,-20.133,1.486,135.092,337698.4503,24
1896,112,driving,2,3,3,9,26343,2268,38,239,198,225,56343,2000,logistic,2000,320,180,320x180,16000,12.296,0.48,46.611,2269.635,-37.76,1.467,52.664,27521.42258,21
1897,112,driving,2,3,3,10,27478,479,0,239,773,185,46325,2866,logistic,2000,320,180,320x180,18000,14,0.48,46.602,2509.15,-41.983,1.484,69.406,144748.3401,24
1898,112,driving,2,3,3,11,29491,1459,0,239,301,220,55018,2853,logistic,2000,320,180,320x180,20000,238.553,0.48,46.477,2634.665,0.24,1.494,150.851,52539.9709,20
1899,112,driving,2,3,3,12,31520,1475,0,239,282,208,52119,2825,logistic,2000,320,180,320x180,22000,410.923,0.48,46.477,2874.18,0.24,1.501,197.133,65341.8773,26
1900,112,driving,2,3,3,13,34234,1981,0,239,183,181,45321,2112,logistic,2000,320,180,320x180,24000,355.904,0.48,46.477,3113.695,0.24,1.508,225.759,32470.00008,17
1901,112,driving,2,3,3,14,35556,745,0,239,339,126,31597,2790,logistic,2000,320,180,320x180,26000,209.321,0.48,46.477,3353.21,0.24,1.513,136.181,91359.10232,17
1902,112,driving,2,3,3,15,37508,1246,0,239,218,136,34006,2838,logistic,2000,320,180,320x180,28000,210.269,0.48,46.477,3592.725,0.24,1.455,132.014,38635.15532,13
1903,112,driving,2,3,3,16,39572,960,0,239,460,221,55270,2775,logistic,2000,320,180,320x180,30000,128.973,0.48,46.477,3832.24,0.24,1.459,76.226,76416.9469,25
1904,112,driving,2,3,3,17,42510,2189,163,239,242,264,66235,2000,logistic,2000,320,180,320x180,32000,66.453,0.48,46.764,4560.755,-25.032,1.492,128.598,33236.52662,24
1905,112,driving,2,3,3,18,46411,3190,1901,239,173,276,69071,2000,logistic,2000,320,180,320x180,34000,230.698,0.48,49.906,10503.27,-20.116,1.457,150.267,38051.75122,27
1906,112,driving,2,3,3,19,47646,506,0,239,1167,295,73833,2766,logistic,2000,320,180,320x180,36000,210.765,0.48,49.525,10253.785,-20.168,1.46,74.74,988608.5397,37
1907,112,driving,2,3,3,20,51025,2374,613,239,232,276,69054,2000,logistic,2000,320,180,320x180,38000,201.423,0.48,47.388,6629.3,-21.157,1.437,169.17,35179.98282,25
1908,112,driving,2,3,3,21,54148,2385,1122,239,243,290,72601,2000,logistic,2000,320,180,320x180,40000,173.768,0.48,48.927,10234.815,-20.257,1.411,160.003,35744.77067,27
1909,112,driving,2,3,3,22,55700,838,0,239,1096,459,114859,2449,logistic,2000,320,180,320x180,42000,119.104,0.48,48.002,8635.33,-20.577,1.414,139.783,195977.6574,52
1910,112,driving,2,3,3,23,59283,2634,1134,239,296,391,97765,2000,logistic,2000,320,180,320x180,44000,17.146,0.48,47.933,8910.845,-20.606,1.393,38.799,38357.08134,35
1911,112,driving,2,3,3,24,62335,2312,1051,239,309,357,89481,2000,logistic,2000,320,180,320x180,46000,8.594,0.48,49.16,12303.36,-20.21,1.366,35.611,40778.74339,32
1912,112,driving,2,3,3,25,63769,646,0,239,939,303,75888,2567,logistic,2000,320,180,320x180,48000,8.78,0.48,47.729,9140.875,-20.759,1.368,35.917,142509.4089,34
1913,112,driving,2,3,3,26,66714,1877,378,239,297,279,69910,2000,logistic,2000,320,180,320x180,50000,27.862,0.48,46.904,7361.39,-22.951,1.354,40.807,39196.2894,26
1914,112,driving,2,3,3,27,67808,270,0,239,2267,306,76536,2907,logistic,2000,320,180,320x180,52000,15.201,0.48,46.895,7600.905,-23.094,1.355,64.561,376961.3452,37
1915,112,driving,2,3,3,28,70105,1699,0,239,350,297,74437,2611,logistic,2000,320,180,320x180,54000,263.245,0.48,46.477,6706.42,0.24,1.356,154.077,59860.18539,27
1916,112,driving,2,3,3,29,71827,478,0,239,1037,248,62010,2889,logistic,2000,320,180,320x180,56000,266.648,0.48,46.477,6945.935,0.24,1.357,45.385,1418472.355,32
1917,112,driving,2,3,3,30,74488,1810,0,239,255,231,57894,2228,logistic,2000,320,180,320x180,58000,144.25,0.48,46.477,7185.45,0.24,1.332,127.563,38428.45118,21
1918,112,driving,2,3,3,31,75866,507,0,239,679,172,43066,2850,logistic,2000,320,180,320x180,60000,97.669,0.48,46.477,7424.965,0.24,1.334,124.572,172329.7782,26
1919,112,driving,2,3,3,32,78485,1684,0,239,258,217,54389,2232,logistic,2000,320,180,320x180,62000,136.246,0.48,46.477,7664.48,0.24,1.362,153.188,39233.61859,20
1920,112,driving,2,3,3,33,80595,681,0,239,761,259,64839,2122,logistic,2000,320,180,320x180,64000,14.387,0.48,46.477,7903.995,0.24,1.363,65.944,109840.0371,24
1921,112,driving,2,3,3,34,81674,239,0,239,858,102,25661,3043,logistic,2000,320,180,320x180,66000,9.19,0.48,46.477,8143.51,0.24,1.364,0.103,238475.6429,10
1922,112,driving,2,3,3,35,83392,927,0,239,421,195,48880,3326,logistic,2000,320,180,320x180,68000,152.825,0.48,46.477,8383.025,0.24,1.364,93.127,76318.69763,18
1923,112,driving,2,3,3,36,85529,733,0,239,286,105,26284,3189,logistic,2000,320,180,320x180,70000,148.733,0.48,46.477,8622.54,0.24,1.338,78.043,56561.61706,11
1924,112,driving,2,3,3,37,87283,826,0,239,322,133,33338,3436,logistic,2000,320,180,320x180,72000,154.155,0.48,46.477,8862.055,0.24,1.373,112.69,60211.50009,13
1925,112,driving,2,3,3,38,88648,574,0,239,500,143,35911,4071,logistic,2000,320,180,320x180,74000,107.371,0.48,46.477,9101.57,0.24,1.373,69.751,100060.925,14
1926,112,driving,2,3,3,39,90848,669,0,239,455,152,38065,3872,logistic,2000,320,180,320x180,76000,109.301,0.48,46.477,9341.085,0.24,1.373,54.921,78123.21455,15
1927,112,driving,2,3,3,40,92304,314,0,239,903,141,35468,4416,logistic,2000,320,180,320x180,78000,23.123,0.48,46.477,9580.6,0.24,1.374,31.445,161888.648,14
1928,112,driving,2,3,3,41,93820,466,0,239,676,157,39391,4901,logistic,2000,320,180,320x180,80000,128.068,0.48,46.477,9820.115,0.24,1.374,31.531,148636.7832,15
1929,112,driving,2,3,3,42,95807,663,0,239,425,140,35224,4914,logistic,2000,320,180,320x180,82000,120.907,0.48,46.477,10059.63,0.24,1.375,77.145,83575.6071,14
1930,112,driving,2,3,3,43,97481,686,0,239,414,142,35513,5241,logistic,2000,320,180,320x180,84000,140.934,0.48,46.477,10299.145,0.24,1.375,86.635,83095.17553,14
1931,112,driving,2,3,3,44,99196,826,0,239,455,188,47067,5527,logistic,2000,320,180,320x180,86000,172.556,0.48,46.477,10538.66,0.24,1.377,98.254,89753.39595,18
1932,112,driving,2,3,3,45,101226,518,0,239,418,108,27108,5497,logistic,2000,320,180,320x180,88000,125.321,0.48,46.477,10778.175,0.24,1.379,70.335,95277.44077,11
1933,112,driving,2,3,3,46,102857,466,0,239,452,105,26359,5866,logistic,2000,320,180,320x180,90000,163.141,0.48,46.477,11017.69,0.24,1.379,52.421,108454.8248,11
1934,112,driving,2,3,3,47,104822,394,0,239,652,128,32152,5902,logistic,2000,320,180,320x180,92000,88.937,0.48,46.477,11257.205,0.24,1.379,49.738,136566.7014,13
1935,112,driving,2,3,3,48,106934,523,0,239,469,122,30725,5791,logistic,2000,320,180,320x180,94000,105.22,0.48,46.477,11496.72,0.24,1.38,53.7,90940.88226,12
1936,112,driving,2,3,3,49,108787,437,0,239,671,146,36678,5938,logistic,2000,320,180,320x180,96000,85.373,0.48,46.477,11736.235,0.24,1.38,42.868,127053.4844,14
1937,112,driving,2,3,3,50,110789,389,0,239,624,121,30369,5937,logistic,2000,320,180,320x180,98000,107.349,0.48,46.477,11975.75,0.24,1.38,25.62,131615.1794,12
1938,112,driving,2,3,3,51,111908,220,0,239,832,91,22886,6818,logistic,2000,320,180,320x180,100000,59.305,0.48,46.477,12215.265,0.24,1.38,28.195,196342.8416,9
1939,112,driving,2,3,3,52,113673,150,0,239,1075,80,20174,7053,logistic,2000,320,180,320x180,102000,24.424,0.48,46.477,12454.78,0.24,1.38,25.48,237184.2583,8
1940,112,driving,2,3,3,53,116633,1265,0,239,485,307,76817,6094,logistic,2000,320,180,320x180,104000,72.982,0.48,46.477,12694.295,0.24,1.381,47.203,67626.2984,30
1941,112,driving,2,3,3,54,119038,788,0,239,1021,402,100640,5689,logistic,2000,320,180,320x180,106000,42.811,0.48,46.477,12933.81,0.24,1.381,24.344,143747.0606,36
1942,112,driving,2,3,3,55,121195,736,0,239,1388,510,127725,5533,logistic,2000,320,180,320x180,108000,33.948,0.48,46.477,13173.325,0.24,1.381,26.311,190294.8836,46
1943,112,driving,2,3,3,56,123683,754,0,239,1518,572,143125,5046,logistic,2000,320,180,320x180,110000,16.306,0.48,46.477,13412.84,0.24,1.381,32.147,216107.508,51
1944,112,driving,2,3,3,57,126361,1369,0,239,666,456,114043,4368,logistic,2000,320,180,320x180,112000,8.892,0.48,46.477,13652.355,0.24,1.381,26.385,88342.0993,41
1945,112,driving,2,3,3,58,128176,477,0,239,1147,273,68404,4554,logistic,2000,320,180,320x180,114000,16.332,0.48,46.477,13891.87,0.24,1.382,34.151,178856.0676,30
1946,112,driving,2,3,3,59,130855,958,0,239,554,265,66439,3876,logistic,2000,320,180,320x180,116000,124.944,0.48,46.477,14131.385,0.24,1.382,57.469,90135.53932,24
1947,112,driving,2,3,3,60,132188,338,0,239,703,118,29705,4544,logistic,2000,320,180,320x180,118000,18.532,0.48,46.477,14370.9,0.24,1.378,28.156,116535.1755,12
1948,114,static,2,3,1,1,60,60,0,239,284,8,2132,2000,arbiter,2000,320,180,320x180,0,24.107,0,51.077,-5760.485,0.24,1.878,0.087,5495327.103,2
1949,114,static,2,3,1,2,1892,508,0,239,1298,329,82445,4000,arbiter,2000,320,180,320x180,2000,51.433,0.48,46.477,-11520.97,0.24,1.878,29.592,198415.8796,30
1950,114,static,2,3,1,3,3133,461,0,239,2031,468,117046,4759,arbiter,2000,320,180,320x180,4000,10.403,0.48,46.477,718.545,0.24,1.878,22.025,295719.3832,42
1951,114,static,2,3,1,4,4315,463,0,378,3037,703,175814,5578,arbiter,2000,384,216,384x216,6000,0.687,0.419,46.817,958.06,0.274,1.891,4.734,539367.051,62
1952,114,static,2,3,1,5,5468,479,0,766,3530,845,211394,6426,arbiter,2000,512,288,512x288,8000,0.301,0.303,47.593,1336.637,0.373,2.047,23.128,469123.6782,74
1953,114,static,2,3,1,6,6394,320,0,766,4988,798,199533,7501,arbiter,2000,512,288,512x288,10000,0.266,0.339,48.052,2102.935,0.438,2.103,4.395,776604.9678,53
1954,114,static,2,3,1,7,7339,293,0,1077,6679,978,244633,8556,arbiter,2000,640,360,640x360,12000,0.192,0.336,48.703,2869.233,0.53,2.269,0.176,1054087.097,58
1955,114,static,2,3,1,8,8508,249,0,1077,6727,837,209399,9388,arbiter,2000,640,360,640x360,14000,0.714,0.379,49.183,3947.155,0.598,2.339,0.108,917110.0067,48
1956,114,static,2,3,1,9,10018,390,0,1077,4930,961,240377,9879,arbiter,2000,640,360,640x360,16000,17.939,0.431,49.556,5025.077,0.651,2.39,14.009,707965.6434,62
1957,114,static,2,3,1,10,11318,583,0,1077,3069,894,223707,10579,arbiter,2000,640,360,640x360,18000,10.375,0.482,49.855,6102.999,0.694,2.424,13.542,412511.0989,79
1958,114,static,2,3,1,11,12680,562,0,1077,3299,927,231774,11217,arbiter,2000,640,360,640x360,20000,0.201,0.529,50.099,7180.921,0.729,2.468,22.383,435908.4205,82
1959,114,static,2,3,1,12,14018,466,0,1801,6390,1489,372270,11879,arbiter,2000,736,414,736x414,22000,0.355,0.497,50.802,8258.843,0.818,2.535,20.692,856258.5053,80
1960,114,static,2,3,1,13,15851,703,0,2422,5308,1865,466471,12047,arbiter,2000,1280,720,1280x720,24000,18.991,0.411,51.698,10060.177,0.942,2.685,11.645,722915.492,147
1961,114,static,2,3,1,14,17648,1092,0,3091,3551,1938,484748,12250,arbiter,2000,1280,720,1280x720,26000,17.617,0.299,52.8,12482.544,1.095,2.822,20.536,471864.0328,169
1962,114,static,2,3,1,15,19734,1354,0,3918,3741,2532,633200,12165,arbiter,2000,1920,1080,1920x1080,28000,0.331,0.16,54.153,15574.45,1.284,3.068,17.195,478703.964,220
1963,114,static,2,3,1,16,22848,1891,0,3918,3625,3428,857008,11051,arbiter,2000,1920,1080,1920x1080,30000,0.318,0.14,55.306,19492.871,1.448,3.139,0.262,459032.2947,298
1964,114,static,2,3,1,17,23936,346,0,3918,25756,4455,1113972,11964,arbiter,2000,1920,1080,1920x1080,32000,0.164,0.172,56.323,23411.292,1.594,3.197,0.071,3454828.467,146
1965,114,static,2,3,1,18,26827,1994,0,3091,3635,3624,906118,11073,arbiter,2000,1280,720,1280x720,34000,11.347,0.269,56.932,25676.683,1.677,3.248,10.998,467184.3968,314
1966,114,static,2,3,1,19,27958,288,0,2422,21003,3024,756120,11943,arbiter,2000,1280,720,1280x720,36000,13.718,0.362,57.215,27429.511,1.716,3.289,12.481,3239336.665,92
1967,114,static,2,3,1,20,30741,1842,0,2422,3139,2891,722967,11161,arbiter,2000,1280,720,1280x720,38000,8.122,0.447,57.462,29851.878,1.751,3.327,19.996,406927.3131,251
1968,114,static,2,3,1,21,31989,456,0,2422,13163,3001,750342,11913,arbiter,2000,1280,720,1280x720,40000,0.144,0.526,57.686,32274.245,1.783,3.363,0.106,1689305.07,136
1969,114,static,2,3,1,22,34660,1818,0,3091,5137,4670,1167586,11243,arbiter,2000,1280,720,1280x720,42000,15.817,0.602,58.109,34696.612,1.843,3.425,17.924,663797.3224,334
1970,114,static,2,3,1,23,37050,818,0,3091,9736,3982,995537,10854,arbiter,2000,1280,720,1280x720,44000,0.152,0.676,58.489,37788.518,1.897,3.476,2.599,1247825.442,145
1971,114,static,2,3,1,24,39863,2007,0,3918,5459,5478,1369592,10041,arbiter,2000,1920,1080,1920x1080,46000,10.468,0.726,59.094,40880.424,1.981,3.521,9.164,699534.2111,373
1972,114,static,2,3,1,25,43198,2470,0,4375,4555,5626,1406618,8707,arbiter,2000,1920,1080,1920x1080,48000,14.342,0.76,59.755,44798.845,2.077,3.564,18.6,583576.7942,362
1973,114,static,2,3,1,26,46836,2566,0,4375,4237,5437,1359256,7069,arbiter,2000,1920,1080,1920x1080,50000,0.165,0.803,60.374,49173.864,2.165,3.838,20.962,534647.391,471
1974,114,static,2,3,1,27,48074,456,0,4375,23063,5258,1314597,7831,arbiter,2000,1920,1080,1920x1080,52000,0.186,0.854,60.947,53548.883,2.247,3.863,16.921,3033336.64,225
1975,114,static,2,3,1,28,50932,1817,0,4375,5540,5033,1258290,6974,arbiter,2000,1920,1080,1920x1080,54000,0.381,0.908,61.479,57923.902,2.323,3.654,3.379,703878.7004,303
1976,114,static,2,3,1,29,52106,446,0,4375,21009,4685,1171307,7800,arbiter,2000,1920,1080,1920x1080,56000,6.602,0.966,61.974,62298.921,2.394,3.68,9.911,2941697.426,142
1977,114,static,2,3,1,30,54381,1347,0,4375,6308,4249,1062270,7525,arbiter,2000,1920,1080,1920x1080,58000,17.23,1.024,62.436,66673.94,2.46,3.685,17.42,830530.8783,201
1978,114,static,2,3,1,31,56118,313,0,4375,21393,3348,837012,7789,arbiter,2000,1920,1080,1920x1080,60000,0.268,1.083,62.869,71048.959,2.522,3.708,10.347,2949506.088,162
1979,114,static,2,3,1,32,58291,728,0,4375,10678,3886,971715,7617,arbiter,2000,1920,1080,1920x1080,62000,0.34,1.143,63.274,75423.978,2.58,3.728,0.134,1375295.736,156
1980,114,static,2,3,1,33,60085,960,0,4375,9450,4536,1134060,7824,arbiter,2000,1920,1080,1920x1080,64000,8.847,1.202,63.655,79798.997,2.634,3.747,14.354,1248974.864,177
1981,114,static,2,3,1,34,62834,1343,0,4375,4221,2834,708619,7075,arbiter,2000,1920,1080,1920x1080,66000,11.918,1.26,64.013,84174.016,2.685,3.768,17.436,548283.2743,205
1982,114,static,2,3,1,35,64164,229,0,4375,31552,3612,903187,7746,arbiter,2000,1920,1080,1920x1080,68000,11.787,1.318,64.351,88549.035,2.734,3.783,13.309,4820063.278,113
1983,114,static,2,3,1,36,65539,572,0,4375,7695,2200,550206,8372,arbiter,2000,1920,1080,1920x1080,70000,0.226,1.374,64.67,92924.054,2.779,3.801,7.758,1006438.012,101
1984,114,static,2,3,1,37,66814,439,0,4375,11691,2566,641568,9097,arbiter,2000,1920,1080,1920x1080,72000,11.277,1.429,64.972,97299.073,2.822,3.82,0.068,1770135.644,119
1985,114,static,2,3,1,38,68737,373,0,4375,12336,2300,575203,9174,arbiter,2000,1920,1080,1920x1080,74000,0.446,1.484,65.258,101674.092,2.863,3.838,0.124,1882180.928,83
1986,114,static,2,3,1,39,70750,515,0,4375,9054,2331,582905,9161,arbiter,2000,1920,1080,1920x1080,76000,10.599,1.536,65.53,106049.111,2.902,3.856,6.322,1444838.129,102
1987,114,static,2,3,1,40,72214,356,0,4375,13392,2383,595956,9697,arbiter,2000,1920,1080,1920x1080,78000,0.395,1.588,65.787,110424.13,2.939,3.873,2.139,1999433.217,95
1988,114,static,2,3,1,41,74228,423,0,4375,12746,2695,673957,9684,arbiter,2000,1920,1080,1920x1080,80000,0.464,1.639,66.033,114799.149,2.974,3.888,0.167,1662544.296,162
1989,114,static,2,3,1,42,76018,600,0,4375,9610,2883,720811,9894,arbiter,2000,1920,1080,1920x1080,82000,8.987,1.688,66.266,119174.168,3.007,3.902,10.908,1316718.986,167
1990,114,static,2,3,1,43,77613,641,0,4375,9776,3133,783316,10300,arbiter,2000,1920,1080,1920x1080,84000,8.92,1.736,66.489,123549.187,3.039,3.916,5.36,1299877.733,134
1991,114,static,2,3,1,44,80148,834,0,4375,7282,3036,759245,9765,arbiter,2000,1920,1080,1920x1080,86000,9.768,1.783,66.701,127924.206,3.069,3.926,12.612,1009325.524,142
1992,114,static,2,3,1,45,82154,759,0,4375,6796,2579,644772,9759,arbiter,2000,1920,1080,1920x1080,88000,15.528,1.828,66.904,132299.225,3.098,3.934,4.722,918010.3643,108
1993,114,static,2,3,1,46,84134,692,0,4375,7399,2560,640089,9780,arbiter,2000,1920,1080,1920x1080,90000,10.503,1.873,67.099,136674.244,3.126,3.944,10.175,977145.9267,142
1994,114,static,2,3,1,47,86325,463,0,4375,12311,2850,712539,9589,arbiter,2000,1920,1080,1920x1080,92000,7.799,1.916,67.285,141049.263,3.153,3.956,4.771,1642142.271,158
1995,114,static,2,3,1,48,88324,410,0,4375,13908,2851,712828,9591,arbiter,2000,1920,1080,1920x1080,94000,8.571,1.958,67.463,145424.282,3.178,3.967,5.615,1871898.331,155
1996,114,static,2,3,1,49,90610,566,0,4375,12289,3477,869463,9305,arbiter,2000,1920,1080,1920x1080,96000,7.984,1.999,67.634,149799.301,3.203,3.989,6.253,1616216.317,196
1997,114,static,2,3,1,50,92242,574,0,4375,12621,3622,905558,9673,arbiter,2000,1920,1080,1920x1080,98000,8.783,2.039,67.798,154174.32,3.226,4,6.749,1658811.96,203
1998,114,static,2,3,1,51,94227,289,0,4375,14609,2111,527767,9688,arbiter,2000,1920,1080,1920x1080,100000,7.847,2.079,67.956,158549.339,3.249,4.012,0.243,2020836.443,111
1999,114,static,2,3,1,52,96174,251,0,4375,8772,1100,275228,9742,arbiter,2000,1920,1080,1920x1080,102000,5.228,2.117,68.107,162924.358,3.27,4.035,5.193,1221430.947,50
2000,114,static,2,3,1,53,98039,764,0,4375,12566,4800,1200140,9877,arbiter,2000,1920,1080,1920x1080,104000,0.284,2.154,68.253,167299.377,3.291,4.048,6.395,1617154.967,215
2001,114,static,2,3,1,54,100475,630,0,3918,17910,5641,1410446,9442,arbiter,2000,1920,1080,1920x1080,106000,0.337,2.187,68.327,170761.2,3.303,4.052,7.713,2329402.751,224
2002,114,static,2,3,1,55,103387,1524,0,3918,8874,6762,1690613,8530,arbiter,2000,1920,1080,1920x1080,108000,14.152,2.219,68.406,174679.621,3.314,4.064,14.437,1151470.7,398
2003,114,static,2,3,1,56,106199,997,0,4375,19163,9552,2388192,7719,arbiter,2000,1920,1080,1920x1080,110000,0.32,2.253,68.532,178598.042,3.333,4.097,0.172,2467398.424,433
2004,114,static,2,3,1,57,108520,1168,0,4375,14758,8619,2154759,7399,arbiter,2000,1920,1080,1920x1080,112000,22.292,2.287,68.66,182973.061,3.351,4.11,17.473,1974804.786,303
2005,114,static,2,3,1,58,111211,1188,0,4375,12232,7266,1816520,6708,arbiter,2000,1920,1080,1920x1080,114000,8.691,2.32,68.783,187348.08,3.369,4.118,9.532,1574290.149,204
2006,114,static,2,3,1,59,113416,550,0,4375,19325,5314,1328639,6503,arbiter,2000,1920,1080,1920x1080,116000,0.351,2.352,68.903,191723.099,3.386,4.126,0.057,2542178.885,156
2007,114,static,2,3,1,60,114861,475,0,4375,10280,2441,610383,7059,arbiter,2000,1920,1080,1920x1080,118000,8.231,2.383,69.018,196098.118,3.402,4.138,9.984,1432221.141,85
2008,114,static,2,3,2,1,66,66,0,239,258,8,2132,2000,arbiter,2000,320,180,320x180,0,31.17,0,51.077,-5760.485,0.24,1.878,0.097,6109090.909,2
2009,114,static,2,3,2,2,1891,500,0,239,1319,329,82445,4000,arbiter,2000,320,180,320x180,2000,30.849,0.48,46.477,-11520.97,0.24,1.878,29.36,199774.771,30
2010,114,static,2,3,2,3,2929,376,0,239,2490,468,117046,4962,arbiter,2000,320,180,320x180,4000,0.719,0.48,46.477,718.545,0.24,1.878,16.701,354461.5626,42
2011,114,static,2,3,2,4,3789,157,0,572,13515,1060,265236,6103,arbiter,2000,512,288,512x288,6000,0.468,0.333,47.292,958.06,0.323,2.076,22.344,2171621.401,58
2012,114,static,2,3,2,5,4772,342,0,1077,6966,1191,297801,7120,arbiter,2000,640,360,640x360,8000,0.452,0.22,48.41,1530.549,0.474,2.259,0.05,982941.7275,72
2013,114,static,2,3,2,6,5991,541,0,1801,7006,1895,473840,7902,arbiter,2000,736,414,736x414,10000,12.913,0.097,50.03,2608.471,0.695,2.512,6.978,970527.7209,92
2014,114,static,2,3,2,7,7031,416,0,1801,7664,1594,398571,8862,arbiter,2000,736,414,736x414,12000,0.166,0.179,51.136,4409.805,0.853,2.6,6.565,1077903.193,81
2015,114,static,2,3,2,8,8262,373,0,1801,7360,1372,343203,9631,arbiter,2000,736,414,736x414,14000,0.545,0.291,51.966,6211.139,0.972,2.677,13.693,1029855.759,64
2016,114,static,2,3,2,9,9819,498,0,1801,6404,1594,398693,10075,arbiter,2000,736,414,736x414,16000,0.331,0.402,52.611,8012.473,1.064,2.762,22.27,853553.6921,90
2017,114,static,2,3,2,10,11034,545,0,1801,5603,1526,381730,10860,arbiter,2000,736,414,736x414,18000,0.148,0.506,53.127,9813.807,1.138,2.808,18.939,741194.3235,88
2018,114,static,2,3,2,11,11848,67,0,1801,47349,1586,396552,12046,arbiter,2000,736,414,736x414,20000,0.169,0.599,53.55,11615.141,1.198,2.857,20.3,10569955.78,75
2019,114,static,2,3,2,12,13297,792,0,3091,6657,2636,659139,12597,arbiter,2000,1280,720,1280x720,22000,12.704,0.566,54.789,13416.475,1.356,2.972,11.483,895737.1918,117
2020,114,static,2,3,2,13,15360,956,0,4375,7505,3587,896857,12535,arbiter,2000,1920,1080,1920x1080,24000,0.284,0.397,56.495,16508.381,1.588,3.206,0.129,1028762.648,161
2021,114,static,2,3,2,14,16970,899,0,4375,6128,2754,688741,12926,arbiter,2000,1920,1080,1920x1080,26000,0.372,0.388,57.888,20883.4,1.787,3.29,20.683,791325.0621,143
2022,114,static,2,3,2,15,18360,671,0,4375,8339,2797,699451,13536,arbiter,2000,1920,1080,1920x1080,28000,0.178,0.442,59.096,25258.419,1.96,3.349,0.066,1144968.139,142
2023,114,static,2,3,2,16,19882,755,0,4375,10094,3810,952635,14015,arbiter,2000,1920,1080,1920x1080,30000,12.54,0.526,60.153,29633.438,2.111,3.409,17.253,1375880.81,172
2024,114,static,2,3,2,17,23520,2259,0,4375,4400,4969,1242459,12377,arbiter,2000,1920,1080,1920x1080,32000,15.957,0.625,61.085,34008.457,2.244,3.45,15.242,566603.8821,338
2025,114,static,2,3,2,18,26970,2610,0,4375,4197,5477,1369313,10927,arbiter,2000,1920,1080,1920x1080,34000,6.919,0.73,61.914,38383.476,2.362,3.532,5.475,530277.0531,443
2026,114,static,2,3,2,19,27979,198,0,4375,59766,5916,1479218,11919,arbiter,2000,1920,1080,1920x1080,36000,20.331,0.836,62.656,42758.495,2.468,3.588,19.936,11449637.42,188
2027,114,static,2,3,2,20,31329,2464,0,4375,4660,5742,1435508,10569,arbiter,2000,1920,1080,1920x1080,38000,11.615,0.942,63.323,47133.514,2.563,3.64,16.068,595198.3073,376
