total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
40,102,driving,1,3,1,40,115222,1184,188,4375,4026,2383,595956,2000,exponential,2000,1920,1080,1920x1080,78000,40.667,2.553,68.021,108848.349,-31.63,1.791,17.635,541151.4715,207
41,102,driving,1,3,1,41,118097,1363,875,4375,3955,2695,673957,2000,exponential,2000,1920,1080,1920x1080,80000,47.552,2.589,68.838,115848.368,-18.457,1.784,19.612,525117.9253,234
42,102,driving,1,3,1,42,120714,1171,616,4375,4924,2883,720811,2000,exponential,2000,1920,1080,1920x1080,82000,39.338,2.624,69.308,121507.387,-17.952,1.777,10.405,656694.9673,217
43,102,driving,1,3,1,43,123952,1727,1237,3918,3161,2729,682406,2000,exponential,2000,1920,1080,1920x1080,84000,29.915,2.658,69.612,126055.21,-17.716,1.762,21.007,410391.3702,237
44,102,driving,1,3,1,44,127072,1633,1120,3918,3317,2709,677265,2000,exponential,2000,1920,1080,1920x1080,86000,69.233,2.691,70.019,131485.631,-17.503,1.757,13.094,440975.0179,235
45,102,driving,1,3,1,45,128758,216,0,3918,21524,2324,581165,2315,exponential,2000,1920,1080,1920x1080,88000,36.678,2.723,69.293,131693.052,-18.461,1.755,21.986,4142385.875,95
46,102,driving,1,3,1,46,131972,1690,899,4375,3030,2560,640089,2000,exponential,2000,1920,1080,1920x1080,90000,24.502,2.755,69.278,134948.473,-18.969,1.75,18.65,392065.0413,223
47,102,driving,1,3,1,47,135301,1739,1329,4375,3277,2850,712539,2000,exponential,2000,1920,1080,1920x1080,92000,45.622,2.786,70.24,143310.492,-17.548,1.752,14.796,430717.4475,241
48,102,driving,1,3,1,48,137932,1094,630,4375,5212,2851,712828,2000,exponential,2000,1920,1080,1920x1080,94000,17.045,2.817,70.201,146878.511,-17.676,1.746,21.803,680682.5048,212
49,102,driving,1,3,1,49,140249,692,317,3091,7028,2432,608007,2000,exponential,2000,1280,720,1280x720,96000,18.613,2.827,69.551,145651.304,-18.959,1.733,18.626,945731.2029,101
50,102,driving,1,3,1,50,142883,961,634,4375,7538,3622,905558,2000,exponential,2000,1920,1080,1920x1080,98000,21.053,2.856,69.693,148755.21,-18.98,1.739,13.159,998880.6744,134
51,102,driving,1,3,1,51,144842,261,0,4375,16176,2111,527767,2042,exponential,2000,1920,1080,1920x1080,100000,16.569,2.884,69.641,152179.229,-20.445,1.739,15.424,2464778.212,83
52,102,driving,1,3,1,52,146800,329,0,4375,6692,1100,275228,2085,exponential,2000,1920,1080,1920x1080,102000,56.447,2.912,69.415,154652.248,3.409,1.739,6.143,1170980.866,55
53,102,driving,1,3,1,53,148864,403,0,4375,23824,4800,1200140,2021,exponential,2000,1920,1080,1920x1080,104000,15.592,2.939,69.543,159027.267,3.427,1.74,2.909,3441015.939,141
54,102,driving,1,3,1,54,152600,2170,1714,4375,5792,6284,1571135,2000,exponential,2000,1920,1080,1920x1080,106000,39.475,2.966,70.579,168544.286,-17.9,1.736,16.839,747802.197,423
55,102,driving,1,3,1,55,156308,2167,1708,4375,7013,7599,1899904,2000,exponential,2000,1920,1080,1920x1080,108000,50.206,2.992,71.574,178043.305,-17.203,1.733,22.92,919600.4365,312
56,102,driving,1,3,1,56,160919,2920,2610,4375,6542,9552,2388192,2000,exponential,2000,1920,1080,1920x1080,110000,18.679,3.018,72.116,185106.324,-17.055,1.73,2.683,832838.5876,619
57,102,driving,1,3,1,57,164956,2358,2037,4375,7310,8619,2154759,2000,exponential,2000,1920,1080,1920x1080,112000,26.088,3.043,72.353,190468.343,-17.009,1.728,11.318,903492.9123,546
58,102,driving,1,3,1,58,168970,2307,2013,4375,6299,7266,1816520,2000,exponential,2000,1920,1080,1920x1080,114000,29.233,3.068,72.122,193052.362,-17.081,1.725,11.765,811861.2733,565
59,102,driving,1,3,1,59,172624,1896,1653,4375,5606,5314,1328639,2000,exponential,2000,1920,1080,1920x1080,116000,30.153,3.092,72.003,196275.381,-17.142,1.723,12.933,727001.6216,321
60,102,driving,1,3,1,60,174902,560,278,4375,8719,2441,610383,2000,exponential,2000,1920,1080,1920x1080,118000,21.83,3.116,71.242,195445.4,-17.788,1.722,0.122,1217081.226,127
61,102,driving,1,3,2,1,56,56,0,4375,723,20,5065,2000,exponential,2000,1920,1080,1920x1080,0,30.221,0,80.025,-1624.981,4.375,3.936,0.08,2116539.848,3
62,102,driving,1,3,2,2,1920,1160,0,572,1412,819,204860,4000,exponential,2000,512,288,512x288,2000,59.807,0,64.778,-10855.022,2.474,2.823,27.743,199129.6217,72
63,102,driving,1,3,2,3,3874,1007,0,766,2855,1437,359444,4047,exponential,2000,512,288,512x288,4000,27.292,0,59.531,1717.467,1.905,2.698,18.338,386758.2555,126
64,102,driving,1,3,2,4,7109,2304,0,1077,1688,1944,486242,2812,exponential,2000,640,360,640x360,6000,38.329,0,57.691,2483.765,1.698,2.829,25.984,219680.7468,169
65,102,driving,1,3,2,5,10180,2107,258,1801,1850,1949,487454,2000,exponential,2000,736,414,736x414,8000,41.806,0.006,59.533,4335.687,-19.088,2.763,23.903,240031.4807,170
66,102,driving,1,3,2,6,11927,794,0,1801,4774,1895,473840,2254,exponential,2000,736,414,736x414,10000,60.54,0.276,59.303,6137.021,-19.243,2.831,21.573,679322.2583,116
67,102,driving,1,3,2,7,15388,2519,1207,2422,1729,2178,544519,2000,exponential,2000,1280,720,1280x720,12000,87.266,0.549,64.091,10785.355,-18.404,2.908,40.968,230850.9552,190
68,102,driving,1,3,2,8,18292,1956,903,2422,1870,1829,457292,2000,exponential,2000,1280,720,1280x720,14000,24.359,0.765,67.441,15916.722,-18.248,2.795,12.601,240954.8768,159
69,102,driving,1,3,2,9,19968,697,0,2422,6022,2098,524678,2324,exponential,2000,1280,720,1280x720,16000,14.793,0.941,62.583,14718.089,-18.444,2.894,23.159,820740.025,139
70,102,driving,1,3,2,10,23250,2273,957,2422,1725,1961,490257,2000,exponential,2000,1280,720,1280x720,18000,78.979,1.087,62.654,17302.456,-18.419,2.79,27.076,229198.6179,171
71,102,driving,1,3,2,11,26451,2107,1201,3091,2474,2606,651717,2000,exponential,2000,1280,720,1280x720,20000,19.388,1.224,66.382,23327.823,-18.099,2.659,18.725,316471.7339,227
72,102,driving,1,3,2,12,28069,552,0,3091,9552,2636,659139,2383,exponential,2000,1280,720,1280x720,22000,20.183,1.35,63.999,23548.729,-18.219,2.741,13.788,1344333.554,133
73,102,driving,1,3,2,13,32102,3000,1650,3918,2153,3230,807534,2000,exponential,2000,1920,1080,1920x1080,24000,69.116,1.43,65.653,27987.635,-17.998,2.627,37.752,280341.328,282
